"alpha3","country","date","cases","new_cases","deaths","population","casesPer100k","deathsPer100k","Income group","Continent","Region"
"ALB","Albania",2020-06-05,1212,15,33,2878000,42.1,1.1,"Upper middle income","Europe","Southern Europe"
"DZA","Algeria",2020-06-05,9935,104,690,43851000,22.7,1.6,"Upper middle income","Africa","Northern Africa"
"AND","Andorra",2020-06-05,852,0,51,77000,1106.5,66.2,"High income","Europe","Southern Europe"
"AGO","Angola",2020-06-05,86,0,4,32866000,0.3,0,"Lower middle income","Africa","Middle Africa"
"ATG","Antigua and Barbuda",2020-06-05,26,0,3,98000,26.5,3.1,"High income","North America","Caribbean"
"ARG","Argentina",2020-06-05,21037,840,632,45196000,46.5,1.4,"Upper middle income","South America","South America"
"ARM","Armenia",2020-06-05,11817,596,183,2963000,398.8,6.2,"Upper middle income","Asia","Western Asia"
"AUS","Australia",2020-06-05,7252,5,102,25500000,28.4,0.4,"High income","Oceania","Australia and New Zealand"
"AUT","Austria",2020-06-05,16843,38,672,9006000,187,7.5,"High income","Europe","Western Europe"
"AZE","Azerbaijan",2020-06-05,6860,338,82,10139000,67.7,0.8,"Upper middle income","Asia","Western Asia"
"BHR","Bahrain",2020-06-05,13835,539,22,1702000,812.9,1.3,"High income","Asia","Western Asia"
"BGD","Bangladesh",2020-06-05,60391,2828,811,164689000,36.7,0.5,"Lower middle income","Asia","Southern Asia"
"BRB","Barbados",2020-06-05,92,0,7,287000,32.1,2.4,"High income","North America","Caribbean"
"BLR","Belarus",2020-06-05,46868,887,259,9449000,496,2.7,"Upper middle income","Europe","Eastern Europe"
"BEL","Belgium",2020-06-05,58907,140,9566,11590000,508.3,82.5,"High income","Europe","Western Europe"
"BLZ","Belize",2020-06-05,19,1,2,398000,4.8,0.5,"Upper middle income","North America","Central America"
"BEN","Benin",2020-06-05,261,0,3,12123000,2.2,0,"Low income","Africa","Western Africa"
"BTN","Bhutan",2020-06-05,48,1,0,772000,6.2,0,"Lower middle income","Asia","Southern Asia"
"BOL","Bolivia",2020-06-05,12728,483,427,11673000,109,3.7,"Lower middle income","South America","South America"
"BIH","Bosnia and Herzegovina",2020-06-05,2606,12,159,3281000,79.4,4.8,"Upper middle income","Europe","Southern Europe"
"BWA","Botswana",2020-06-05,40,0,1,2352000,1.7,0,"Upper middle income","Africa","Southern Africa"
"BRA","Brazil",2020-06-05,645771,30830,35026,212559000,303.8,16.5,"Upper middle income","South America","South America"
"BRN","Brunei",2020-06-05,141,0,2,437000,32.3,0.5,"High income","Asia","South-eastern Asia"
"BGR","Bulgaria",2020-06-05,2627,42,159,6948000,37.8,2.3,"Upper middle income","Europe","Eastern Europe"
"BFA","Burkina Faso",2020-06-05,888,3,53,20903000,4.2,0.3,"Low income","Africa","Western Africa"
"BDI","Burundi",2020-06-05,63,0,1,11891000,0.5,0,"Low income","Africa","Eastern Africa"
"KHM","Cambodia",2020-06-05,125,0,0,16719000,0.7,0,"Lower middle income","Asia","South-eastern Asia"
"CMR","Cameroon",2020-06-05,7392,603,205,26546000,27.8,0.8,"Lower middle income","Africa","Middle Africa"
"CAN","Canada",2020-06-05,95947,678,7778,37742000,254.2,20.6,"High income","North America","Northern America"
"CPV","Cape Verde",2020-06-05,536,34,5,556000,96.4,0.9,"Lower middle income","Africa","Western Africa"
"CAF","Central African Republic",2020-06-05,1451,163,4,4830000,30,0.1,"Low income","Africa","Middle Africa"
"TCD","Chad",2020-06-05,836,8,68,16426000,5.1,0.4,"Low income","Africa","Middle Africa"
"CHL","Chile",2020-06-05,122499,4207,1448,19116000,640.8,7.6,"High income","South America","South America"
"COL","Colombia",2020-06-05,36635,1515,1145,50883000,72,2.3,"Upper middle income","South America","South America"
"COM","Comoros",2020-06-05,132,0,2,870000,15.2,0.2,"Lower middle income","Africa","Eastern Africa"
"CRI","Costa Rica",2020-06-05,1228,34,10,5094000,24.1,0.2,"Upper middle income","North America","Central America"
"CIV","Cote d'Ivoire",2020-06-05,3431,169,36,26378000,13,0.1,"Lower middle income","Africa","Western Africa"
"HRV","Croatia",2020-06-05,2247,0,103,4105000,54.7,2.5,"High income","Europe","Southern Europe"
"CUB","Cuba",2020-06-05,2133,14,83,11327000,18.8,0.7,"Upper middle income","North America","Caribbean"
"CYP","Cyprus",2020-06-05,960,2,17,1207000,79.5,1.4,"High income","Asia","Western Asia"
"CZE","Czech Republic",2020-06-05,9529,35,327,10709000,89,3.1,"High income","Europe","Eastern Europe"
"COD","Democratic Republic of the Congo",2020-06-05,3764,120,81,89561000,4.2,0.1,"Low income","Africa","Middle Africa"
"DNK","Denmark",2020-06-05,12075,64,586,5792000,208.5,10.1,"High income","Europe","Northern Europe"
NA,"Diamond Princess Cruise Ship",2020-06-05,712,0,13,NA,NA,NA,NA,NA,NA
"DJI","Djibouti",2020-06-05,4123,69,26,988000,417.3,2.6,"Lower middle income","Africa","Eastern Africa"
"DMA","Dominica",2020-06-05,18,0,0,72000,25,0,"Upper middle income","North America","Caribbean"
"DOM","Dominican Republic",2020-06-05,18708,389,525,10848000,172.5,4.8,"Upper middle income","North America","Caribbean"
"ECU","Ecuador",2020-06-05,41575,609,3534,17643000,235.6,20,"Upper middle income","South America","South America"
"EGY","Egypt",2020-06-05,31115,1348,1166,102334000,30.4,1.1,"Lower middle income","Africa","Northern Africa"
"SLV","El Salvador",2020-06-05,2849,68,53,6486000,43.9,0.8,"Lower middle income","North America","Central America"
"GNQ","Equatorial Guinea",2020-06-05,1306,0,12,1403000,93.1,0.9,"Upper middle income","Africa","Middle Africa"
"ERI","Eritrea",2020-06-05,39,0,0,3546000,1.1,0,"Low income","Africa","Eastern Africa"
"EST","Estonia",2020-06-05,1910,20,69,1327000,143.9,5.2,"High income","Europe","Northern Europe"
"SWZ","Eswatini",2020-06-05,305,5,3,1160000,26.3,0.3,"Lower middle income","Africa","Southern Africa"
"ETH","Ethiopia",2020-06-05,1805,169,19,114964000,1.6,0,"Low income","Africa","Eastern Africa"
"FJI","Fiji",2020-06-05,18,0,0,896000,2,0,"Upper middle income","Oceania","Melanesia"
"FIN","Finland",2020-06-05,6941,30,322,5541000,125.3,5.8,"High income","Europe","Northern Europe"
"FRA","France",2020-06-05,190312,611,29114,65274000,291.6,44.6,"High income","Europe","Western Europe"
"GAB","Gabon",2020-06-05,3101,146,21,2226000,139.3,0.9,"Upper middle income","Africa","Middle Africa"
"GEO","Georgia",2020-06-05,805,4,13,3989000,20.2,0.3,"Upper middle income","Asia","Western Asia"
"DEU","Germany",2020-06-05,184924,452,8658,83784000,220.7,10.3,"High income","Europe","Western Europe"
"GHA","Ghana",2020-06-05,9168,283,42,31073000,29.5,0.1,"Lower middle income","Africa","Western Africa"
"GRC","Greece",2020-06-05,2967,15,180,10423000,28.5,1.7,"High income","Europe","Southern Europe"
"GRD","Grenada",2020-06-05,23,0,0,113000,20.4,0,"Upper middle income","North America","Caribbean"
"GTM","Guatemala",2020-06-05,6485,331,216,17916000,36.2,1.2,"Upper middle income","North America","Central America"
"GIN","Guinea",2020-06-05,4060,69,23,13133000,30.9,0.2,"Low income","Africa","Western Africa"
"GNB","Guinea Bissau",2020-06-05,1368,29,12,1968000,69.5,0.6,"Low income","Africa","Western Africa"
"GUY","Guyana",2020-06-05,153,0,12,787000,19.4,1.5,"Upper middle income","South America","South America"
"HTI","Haiti",2020-06-05,2740,100,50,11403000,24,0.4,"Low income","North America","Caribbean"
"VAT","Holy See (Vatican City)",2020-06-05,12,0,0,1000,1200,0,NA,"Europe","Southern Europe"
"HND","Honduras",2020-06-05,5971,91,248,9905000,60.3,2.5,"Lower middle income","North America","Central America"
"HKG","Hong Kong",2020-06-05,1102,3,4,7497000,14.7,0.1,"High income","Asia","Eastern Asia"
"HUN","Hungary",2020-06-05,3970,16,542,9660000,41.1,5.6,"High income","Europe","Eastern Europe"
"ISL","Iceland",2020-06-05,1806,0,10,341000,529.6,2.9,"High income","Europe","Northern Europe"
"IND","India",2020-06-05,236184,9471,6649,1380004000,17.1,0.5,"Lower middle income","Asia","Southern Asia"
"IDN","Indonesia",2020-06-05,29521,703,1770,273524000,10.8,0.6,"Lower middle income","Asia","South-eastern Asia"
"IRN","Iran (Islamic Republic of)",2020-06-05,167156,2886,8134,83993000,199,9.7,"Upper middle income","Asia","Southern Asia"
"IRQ","Iraq",2020-06-05,9846,1006,285,40223000,24.5,0.7,"Upper middle income","Asia","Western Asia"
"IRL","Ireland",2020-06-05,25163,21,1670,4938000,509.6,33.8,"High income","Europe","Northern Europe"
"ISR","Israel",2020-06-05,17562,67,291,8656000,202.9,3.4,"High income","Asia","Western Asia"
"ITA","Italy",2020-06-05,234531,518,33774,60462000,387.9,55.9,"High income","Europe","Southern Europe"
"JAM","Jamaica",2020-06-05,595,4,10,2961000,20.1,0.3,"Upper middle income","North America","Caribbean"
"JPN","Japan",2020-06-05,16958,47,916,126476000,13.4,0.7,"High income","Asia","Eastern Asia"
"JOR","Jordan",2020-06-05,784,19,9,10203000,7.7,0.1,"Upper middle income","Asia","Western Asia"
"KAZ","Kazakhstan",2020-06-05,12312,245,52,18777000,65.6,0.3,"Upper middle income","Asia","Central Asia"
"KEN","Kenya",2020-06-05,2474,134,79,53771000,4.6,0.1,"Lower middle income","Africa","Eastern Africa"
"XKX","Kosovo",2020-06-05,1142,0,30,1800000,63.4,1.7,"Upper middle income","Europe","Southern Europe"
"KWT","Kuwait",2020-06-05,30644,723,244,4271000,717.5,5.7,"High income","Asia","Western Asia"
"KGZ","Kyrgyzstan",2020-06-05,1936,37,22,6524000,29.7,0.3,"Lower middle income","Asia","Central Asia"
"LAO","Lao People's Democratic Republic",2020-06-05,19,0,0,7276000,0.3,0,"Lower middle income","Asia","South-eastern Asia"
"LVA","Latvia",2020-06-05,1085,3,25,1886000,57.5,1.3,"High income","Europe","Northern Europe"
"LBN","Lebanon",2020-06-05,1312,6,28,6825000,19.2,0.4,"Upper middle income","Asia","Western Asia"
"LSO","Lesotho",2020-06-05,4,0,0,2142000,0.2,0,"Lower middle income","Africa","Southern Africa"
"LBR","Liberia",2020-06-05,334,13,30,5058000,6.6,0.6,"Low income","Africa","Western Africa"
"LBY","Libya",2020-06-05,239,30,5,6871000,3.5,0.1,"Upper middle income","Africa","Northern Africa"
"LIE","Liechtenstein",2020-06-05,82,0,1,38000,215.8,2.6,"High income","Europe","Western Europe"
"LTU","Lithuania",2020-06-05,1694,7,71,2722000,62.2,2.6,"High income","Europe","Northern Europe"
"LUX","Luxembourg",2020-06-05,4032,5,110,626000,644.1,17.6,"High income","Europe","Western Europe"
"MAC","Macao",2020-06-05,45,0,0,649000,6.9,0,"High income","Asia","Eastern Asia"
"MDG","Madagascar",2020-06-05,975,18,7,27691000,3.5,0,"Low income","Africa","Eastern Africa"
"CHN","Mainland China",2020-06-05,83030,3,4634,1439324000,5.8,0.3,"Upper middle income","Asia","Eastern Asia"
"MWI","Malawi",2020-06-05,409,16,4,19130000,2.1,0,"Low income","Africa","Eastern Africa"
"MYS","Malaysia",2020-06-05,8266,19,116,32366000,25.5,0.4,"Upper middle income","Asia","South-eastern Asia"
"MDV","Maldives",2020-06-05,1883,11,7,541000,348.1,1.3,"Upper middle income","Asia","Southern Asia"
"MLI","Mali",2020-06-05,1485,24,87,20251000,7.3,0.4,"Low income","Africa","Western Africa"
"MLT","Malta",2020-06-05,625,3,9,442000,141.4,2,"High income","Europe","Southern Europe"
"MRT","Mauritania",2020-06-05,883,99,43,4650000,19,0.9,"Lower middle income","Africa","Western Africa"
"MUS","Mauritius",2020-06-05,337,2,10,1272000,26.5,0.8,"Upper middle income","Africa","Eastern Africa"
"MEX","Mexico",2020-06-05,110026,4346,13170,128933000,85.3,10.2,"Upper middle income","North America","Central America"
"MCO","Monaco",2020-06-05,99,0,4,39000,253.8,10.3,"High income","Europe","Western Europe"
"MNG","Mongolia",2020-06-05,191,5,0,3278000,5.8,0,"Lower middle income","Asia","Eastern Asia"
"MNE","Montenegro",2020-06-05,324,0,9,628000,51.6,1.4,"Upper middle income","Europe","Southern Europe"
"MAR","Morocco",2020-06-05,8071,68,208,36911000,21.9,0.6,"Lower middle income","Africa","Northern Africa"
"MOZ","Mozambique",2020-06-05,354,2,2,31255000,1.1,0,"Low income","Africa","Eastern Africa"
NA,"MS Zaandam",2020-06-05,9,0,2,NA,NA,NA,NA,NA,NA
"MMR","Myanmar",2020-06-05,236,0,6,54410000,0.4,0,"Lower middle income","Asia","South-eastern Asia"
"NAM","Namibia",2020-06-05,25,0,0,2541000,1,0,"Upper middle income","Africa","Southern Africa"
"NPL","Nepal",2020-06-05,2912,278,11,29137000,10,0,"Low income","Asia","Southern Asia"
"NLD","Netherlands",2020-06-05,47358,210,6024,17135000,276.4,35.2,"High income","Europe","Western Europe"
"NZL","New Zealand",2020-06-05,1504,0,22,4822000,31.2,0.5,"High income","Oceania","Australia and New Zealand"
"NIC","Nicaragua",2020-06-05,1118,0,46,6625000,16.9,0.7,"Lower middle income","North America","Central America"
"NER","Niger",2020-06-05,966,3,65,24207000,4,0.3,"Low income","Africa","Western Africa"
"NGA","Nigeria",2020-06-05,11844,328,333,206140000,5.7,0.2,"Lower middle income","Africa","Western Africa"
"MKD","North Macedonia",2020-06-05,2790,179,149,2083000,133.9,7.2,"Upper middle income","Europe","Southern Europe"
"NOR","Norway",2020-06-05,8522,18,238,5421000,157.2,4.4,"High income","Europe","Northern Europe"
"PSE","Occupied Palestinian Territory",2020-06-05,464,0,3,5101000,9.1,0.1,"Lower middle income","Asia","Western Asia"
"OMN","Oman",2020-06-05,15086,770,72,5107000,295.4,1.4,"High income","Asia","Western Asia"
"PAK","Pakistan",2020-06-05,93983,4734,1935,220892000,42.5,0.9,"Lower middle income","Asia","Southern Asia"
"PAN","Panama",2020-06-05,15463,419,370,4315000,358.4,8.6,"High income","North America","Central America"
"PNG","Papua New Guinea",2020-06-05,8,0,0,8947000,0.1,0,"Lower middle income","Oceania","Melanesia"
"PRY","Paraguay",2020-06-05,1087,1,11,7133000,15.2,0.2,"Upper middle income","South America","South America"
"PER","Peru",2020-06-05,187400,4202,5162,32972000,568.4,15.7,"Upper middle income","South America","South America"
"PHL","Philippines",2020-06-05,20626,244,987,109581000,18.8,0.9,"Lower middle income","Asia","South-eastern Asia"
"POL","Poland",2020-06-05,25410,362,1137,37847000,67.1,3,"High income","Europe","Eastern Europe"
"PRT","Portugal",2020-06-05,33969,377,1465,10197000,333.1,14.4,"High income","Europe","Southern Europe"
"QAT","Qatar",2020-06-05,65495,1754,49,2881000,2273.3,1.7,"High income","Asia","Western Asia"
"KOR","Republic of Korea",2020-06-05,11719,51,273,51269000,22.9,0.5,"High income","Asia","Eastern Asia"
"MDA","Republic of Moldova",2020-06-05,9247,229,323,4034000,229.2,8,"Lower middle income","Europe","Eastern Europe"
"COG","Republic of the Congo",2020-06-05,635,24,20,5518000,11.5,0.4,"Lower middle income","Africa","Middle Africa"
"ROU","Romania",2020-06-05,20103,196,1316,19238000,104.5,6.8,"Upper middle income","Europe","Eastern Europe"
"RUS","Russia",2020-06-05,449256,8718,5520,145934000,307.8,3.8,"Upper middle income","Europe","Eastern Europe"
"RWA","Rwanda",2020-06-05,420,10,2,12952000,3.2,0,"Low income","Africa","Eastern Africa"
"KNA","Saint Kitts and Nevis",2020-06-05,15,0,0,53000,28.3,0,"High income","North America","Caribbean"
"LCA","Saint Lucia",2020-06-05,19,0,0,184000,10.3,0,"Upper middle income","North America","Caribbean"
"VCT","Saint Vincent and the Grenadines",2020-06-05,26,0,0,111000,23.4,0,"Upper middle income","North America","Caribbean"
"SMR","San Marino",2020-06-05,680,2,42,34000,2000,123.5,"High income","Europe","Southern Europe"
"STP","Sao Tome and Principe",2020-06-05,499,14,12,219000,227.9,5.5,"Lower middle income","Africa","Middle Africa"
"SAU","Saudi Arabia",2020-06-05,95748,2591,642,34814000,275,1.8,"High income","Asia","Western Asia"
"SEN","Senegal",2020-06-05,4155,134,45,16744000,24.8,0.3,"Lower middle income","Africa","Western Africa"
"SRB","Serbia",2020-06-05,11667,96,247,8737000,133.5,2.8,"Upper middle income","Europe","Southern Europe"
"SYC","Seychelles",2020-06-05,11,0,0,98000,11.2,0,"High income","Africa","Eastern Africa"
"SLE","Sierra Leone",2020-06-05,929,15,47,7977000,11.6,0.6,"Low income","Africa","Western Africa"
"SGP","Singapore",2020-06-05,37183,261,24,5850000,635.6,0.4,"High income","Asia","South-eastern Asia"
"SVK","Slovakia",2020-06-05,1526,0,28,5460000,27.9,0.5,"High income","Europe","Eastern Europe"
"SVN","Slovenia",2020-06-05,1479,2,109,2079000,71.1,5.2,"High income","Europe","Southern Europe"
"SOM","Somalia",2020-06-05,2204,0,79,15893000,13.9,0.5,"Low income","Africa","Eastern Africa"
"ZAF","South Africa",2020-06-05,43434,2642,908,59309000,73.2,1.5,"Upper middle income","Africa","Southern Africa"
"SSD","South Sudan",2020-06-05,994,0,10,8260490,12,0.1,"Low income","Africa","Eastern Africa"
"ESP","Spain",2020-06-05,240978,318,27134,46755000,515.4,58,"High income","Europe","Southern Europe"
"LKA","Sri Lanka",2020-06-05,1801,4,11,21413000,8.4,0.1,"Upper middle income","Asia","Southern Asia"
"SDN","Sudan",2020-06-05,5865,151,347,43849000,13.4,0.8,"Lower middle income","Africa","Northern Africa"
"SUR","Suriname",2020-06-05,90,8,1,587000,15.3,0.2,"Upper middle income","South America","South America"
"SWE","Sweden",2020-06-05,42939,1056,4639,10099000,425.2,45.9,"High income","Europe","Northern Europe"
"CHE","Switzerland",2020-06-05,30936,23,1921,8655000,357.4,22.2,"High income","Europe","Western Europe"
"SYR","Syrian Arab Republic",2020-06-05,124,0,6,17501000,0.7,0,"Low income","Asia","Western Asia"
"TWN","Taiwan",2020-06-05,443,0,7,23817000,1.9,0,"High income","Asia","Eastern Asia"
"TJK","Tajikistan",2020-06-05,4370,81,48,9538000,45.8,0.5,"Low income","Asia","Central Asia"
"THA","Thailand",2020-06-05,3102,1,58,69800000,4.4,0.1,"Upper middle income","Asia","South-eastern Asia"
"BHS","The Bahamas",2020-06-05,102,0,11,393000,26,2.8,"High income","North America","Caribbean"
"GMB","The Gambia",2020-06-05,26,0,1,2417000,1.1,0,"Low income","Africa","Western Africa"
"TLS","Timor-Leste",2020-06-05,24,0,0,1318000,1.8,0,"Lower middle income","Asia","South-eastern Asia"
"TGO","Togo",2020-06-05,485,20,13,8279000,5.9,0.2,"Low income","Africa","Western Africa"
"TTO","Trinidad and Tobago",2020-06-05,117,0,8,1399000,8.4,0.6,"High income","North America","Caribbean"
"TUN","Tunisia",2020-06-05,1087,0,49,11819000,9.2,0.4,"Lower middle income","Africa","Northern Africa"
"TUR","Turkey",2020-06-05,168340,930,4648,84339000,199.6,5.5,"Upper middle income","Asia","Western Asia"
"UGA","Uganda",2020-06-05,557,35,0,45741000,1.2,0,"Low income","Africa","Eastern Africa"
"GBR","UK",2020-06-05,264150,1110,40430,67886000,389.1,59.6,"High income","Europe","Northern Europe"
"UKR","Ukraine",2020-06-05,26542,561,770,43734000,60.7,1.8,"Lower middle income","Europe","Eastern Europe"
"ARE","United Arab Emirates",2020-06-05,37642,624,274,9890000,380.6,2.8,"High income","Asia","Western Asia"
"TZA","United Republic of Tanzania",2020-06-05,509,0,21,59734000,0.9,0,"Low income","Africa","Eastern Africa"
"URY","Uruguay",2020-06-05,834,2,23,3474000,24,0.7,"High income","South America","South America"
"USA","USA",2020-06-05,1903907,25224,110138,331003000,575.2,33.3,"High income","North America","Northern America"
"UZB","Uzbekistan",2020-06-05,4007,68,16,33469000,12,0,"Lower middle income","Asia","Central Asia"
"VEN","Venezuela",2020-06-05,2145,58,20,28436000,7.5,0.1,"Upper middle income","South America","South America"
"VNM","Vietnam",2020-06-05,328,0,0,97339000,0.3,0,"Lower middle income","Asia","South-eastern Asia"
"ESH","Western Sahara",2020-06-05,9,0,1,597000,1.5,0.2,NA,"Africa","Northern Africa"
"YEM","Yemen",2020-06-05,469,16,111,29826000,1.6,0.4,"Low income","Asia","Western Asia"
"ZMB","Zambia",2020-06-05,1089,0,7,18384000,5.9,0,"Lower middle income","Africa","Eastern Africa"
"ZWE","Zimbabwe",2020-06-05,265,28,4,14863000,1.8,0,"Lower middle income","Africa","Eastern Africa"
"AFG","Afghanistan",2020-06-06,19551,582,327,38928000,50.2,0.8,"Low income","Asia","Southern Asia"
"ALB","Albania",2020-06-06,1232,20,34,2878000,42.8,1.2,"Upper middle income","Europe","Southern Europe"
"DZA","Algeria",2020-06-06,10050,115,698,43851000,22.9,1.6,"Upper middle income","Africa","Northern Africa"
"AND","Andorra",2020-06-06,852,0,51,77000,1106.5,66.2,"High income","Europe","Southern Europe"
"AGO","Angola",2020-06-06,88,2,4,32866000,0.3,0,"Lower middle income","Africa","Middle Africa"
"ATG","Antigua and Barbuda",2020-06-06,26,0,3,98000,26.5,3.1,"High income","North America","Caribbean"
"ARG","Argentina",2020-06-06,22020,983,648,45196000,48.7,1.4,"Upper middle income","South America","South America"
"ARM","Armenia",2020-06-06,12364,547,190,2963000,417.3,6.4,"Upper middle income","Asia","Western Asia"
"AUS","Australia",2020-06-06,7259,7,102,25500000,28.5,0.4,"High income","Oceania","Australia and New Zealand"
"AUT","Austria",2020-06-06,16898,55,672,9006000,187.6,7.5,"High income","Europe","Western Europe"
"AZE","Azerbaijan",2020-06-06,7239,379,84,10139000,71.4,0.8,"Upper middle income","Asia","Western Asia"
"BHR","Bahrain",2020-06-06,14383,548,24,1702000,845.1,1.4,"High income","Asia","Western Asia"
"BGD","Bangladesh",2020-06-06,63026,2635,846,164689000,38.3,0.5,"Lower middle income","Asia","Southern Asia"
"BRB","Barbados",2020-06-06,92,0,7,287000,32.1,2.4,"High income","North America","Caribbean"
"BLR","Belarus",2020-06-06,47751,883,263,9449000,505.4,2.8,"Upper middle income","Europe","Eastern Europe"
"BEL","Belgium",2020-06-06,59072,165,9580,11590000,509.7,82.7,"High income","Europe","Western Europe"
"BLZ","Belize",2020-06-06,19,0,2,398000,4.8,0.5,"Upper middle income","North America","Central America"
"BEN","Benin",2020-06-06,261,0,3,12123000,2.2,0,"Low income","Africa","Western Africa"
"BTN","Bhutan",2020-06-06,48,0,0,772000,6.2,0,"Lower middle income","Asia","Southern Asia"
"BOL","Bolivia",2020-06-06,13358,630,454,11673000,114.4,3.9,"Lower middle income","South America","South America"
"BIH","Bosnia and Herzegovina",2020-06-06,2606,0,159,3281000,79.4,4.8,"Upper middle income","Europe","Southern Europe"
"BWA","Botswana",2020-06-06,40,0,1,2352000,1.7,0,"Upper middle income","Africa","Southern Africa"
"BRA","Brazil",2020-06-06,672846,27075,35930,212559000,316.5,16.9,"Upper middle income","South America","South America"
"BRN","Brunei",2020-06-06,141,0,2,437000,32.3,0.5,"High income","Asia","South-eastern Asia"
"BGR","Bulgaria",2020-06-06,2711,84,160,6948000,39,2.3,"Upper middle income","Europe","Eastern Europe"
"BFA","Burkina Faso",2020-06-06,888,0,53,20903000,4.2,0.3,"Low income","Africa","Western Africa"
"BDI","Burundi",2020-06-06,83,20,1,11891000,0.7,0,"Low income","Africa","Eastern Africa"
"KHM","Cambodia",2020-06-06,125,0,0,16719000,0.7,0,"Lower middle income","Asia","South-eastern Asia"
"CMR","Cameroon",2020-06-06,7599,207,212,26546000,28.6,0.8,"Lower middle income","Africa","Middle Africa"
"CAN","Canada",2020-06-06,96475,528,7850,37742000,255.6,20.8,"High income","North America","Northern America"
"CPV","Cape Verde",2020-06-06,542,6,5,556000,97.5,0.9,"Lower middle income","Africa","Western Africa"
"CAF","Central African Republic",2020-06-06,1570,119,5,4830000,32.5,0.1,"Low income","Africa","Middle Africa"
"TCD","Chad",2020-06-06,836,0,69,16426000,5.1,0.4,"Low income","Africa","Middle Africa"
"CHL","Chile",2020-06-06,127745,5246,1541,19116000,668.3,8.1,"High income","South America","South America"
"COL","Colombia",2020-06-06,38027,1392,1205,50883000,74.7,2.4,"Upper middle income","South America","South America"
"COM","Comoros",2020-06-06,141,9,2,870000,16.2,0.2,"Lower middle income","Africa","Eastern Africa"
"CRI","Costa Rica",2020-06-06,1263,35,10,5094000,24.8,0.2,"Upper middle income","North America","Central America"
"CIV","Cote d'Ivoire",2020-06-06,3557,126,36,26378000,13.5,0.1,"Lower middle income","Africa","Western Africa"
"HRV","Croatia",2020-06-06,2247,0,104,4105000,54.7,2.5,"High income","Europe","Southern Europe"
"CUB","Cuba",2020-06-06,2173,40,83,11327000,19.2,0.7,"Upper middle income","North America","Caribbean"
"CYP","Cyprus",2020-06-06,960,0,18,1207000,79.5,1.5,"High income","Asia","Western Asia"
"CZE","Czech Republic",2020-06-06,9567,38,327,10709000,89.3,3.1,"High income","Europe","Eastern Europe"
"COD","Democratic Republic of the Congo",2020-06-06,3878,114,82,89561000,4.3,0.1,"Low income","Africa","Middle Africa"
"DNK","Denmark",2020-06-06,12124,49,587,5792000,209.3,10.1,"High income","Europe","Northern Europe"
NA,"Diamond Princess Cruise Ship",2020-06-06,712,0,13,NA,NA,NA,NA,NA,NA
"DJI","Djibouti",2020-06-06,4169,46,26,988000,422,2.6,"Lower middle income","Africa","Eastern Africa"
"DMA","Dominica",2020-06-06,18,0,0,72000,25,0,"Upper middle income","North America","Caribbean"
"DOM","Dominican Republic",2020-06-06,19195,487,536,10848000,176.9,4.9,"Upper middle income","North America","Caribbean"
"ECU","Ecuador",2020-06-06,42728,1153,3608,17643000,242.2,20.5,"Upper middle income","South America","South America"
"EGY","Egypt",2020-06-06,32612,1497,1198,102334000,31.9,1.2,"Lower middle income","Africa","Northern Africa"
"SLV","El Salvador",2020-06-06,2934,85,53,6486000,45.2,0.8,"Lower middle income","North America","Central America"
"GNQ","Equatorial Guinea",2020-06-06,1306,0,12,1403000,93.1,0.9,"Upper middle income","Africa","Middle Africa"
"ERI","Eritrea",2020-06-06,39,0,0,3546000,1.1,0,"Low income","Africa","Eastern Africa"
"EST","Estonia",2020-06-06,1931,21,69,1327000,145.5,5.2,"High income","Europe","Northern Europe"
"SWZ","Eswatini",2020-06-06,322,17,3,1160000,27.8,0.3,"Lower middle income","Africa","Southern Africa"
"ETH","Ethiopia",2020-06-06,1934,129,20,114964000,1.7,0,"Low income","Africa","Eastern Africa"
"FJI","Fiji",2020-06-06,18,0,0,896000,2,0,"Upper middle income","Oceania","Melanesia"
"FIN","Finland",2020-06-06,6964,23,322,5541000,125.7,5.8,"High income","Europe","Northern Europe"
"FRA","France",2020-06-06,190891,579,29145,65274000,292.4,44.7,"High income","Europe","Western Europe"
"GAB","Gabon",2020-06-06,3101,0,21,2226000,139.3,0.9,"Upper middle income","Africa","Middle Africa"
"GEO","Georgia",2020-06-06,808,3,13,3989000,20.3,0.3,"Upper middle income","Asia","Western Asia"
"DEU","Germany",2020-06-06,185450,526,8673,83784000,221.3,10.4,"High income","Europe","Western Europe"
"GHA","Ghana",2020-06-06,9462,294,44,31073000,30.5,0.1,"Lower middle income","Africa","Western Africa"
"GRC","Greece",2020-06-06,2980,13,180,10423000,28.6,1.7,"High income","Europe","Southern Europe"
"GRD","Grenada",2020-06-06,23,0,0,113000,20.4,0,"Upper middle income","North America","Caribbean"
"GTM","Guatemala",2020-06-06,6792,307,230,17916000,37.9,1.3,"Upper middle income","North America","Central America"
"GIN","Guinea",2020-06-06,4117,57,23,13133000,31.3,0.2,"Low income","Africa","Western Africa"
"GNB","Guinea Bissau",2020-06-06,1368,0,12,1968000,69.5,0.6,"Low income","Africa","Western Africa"
"GUY","Guyana",2020-06-06,154,1,12,787000,19.6,1.5,"Upper middle income","South America","South America"
"HTI","Haiti",2020-06-06,3072,332,50,11403000,26.9,0.4,"Low income","North America","Caribbean"
"VAT","Holy See (Vatican City)",2020-06-06,12,0,0,1000,1200,0,NA,"Europe","Southern Europe"
